"Type","TG2ID","TherapeuticGrp2","DHB","YearDisp","NumDisps","NumPpl","NHIComp"
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2018,"309922","53358",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2018,"72827","14332",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2018,"177871","32384",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2018,"47667","6999",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2018,"145565","22799",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2018,"88158","16143",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2018,"144521","25537",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2018,"50737","9781",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2018,"160563","31966",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2018,"111131","18946",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2018,"47296","7039",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2018,"108967","20861",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2018,"30419","4868",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2018,"350115","60345",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2018,"58627","9347",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2018,"272414","44735",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2018,"3313457","583262",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2019,"146729","28009",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2019,"363325","70157",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2019,"268527","52089",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2019,"413968","73792",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2019,"322492","54698",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2019,"74879","14535",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2019,"182642","33074",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2019,"46164","6985",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2019,"150547","23287",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2019,"90642","16564",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2019,"153724","26097",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2019,"53258","9981",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2019,"164040","32698",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2019,"113240","19312",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2019,"49402","7338",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2019,"112301","21325",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2019,"31135","5077",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2019,"363970","62586",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2019,"60908","9641",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2019,"276660","45929",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2019,"3438553","600954",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2020,"205895","29129",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2020,"510758","72949",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2020,"359742","53637",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2020,"558469","76560",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2020,"419926","56263",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2020,"103951","14793",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2020,"248645","33700",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2020,"56070","7194",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2020,"196857","23787",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2020,"121315","17004",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2020,"206790","26709",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2020,"71645","10161",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2020,"232425","33312",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2020,"151286","19573",99.9
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2020,"65530","7634",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2020,"156767","21840",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2020,"40839","5302",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2020,"506373","65180",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2020,"81220","9833",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2020,"367908","47116",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2020,"4662411","618789",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2021,"207199","30549",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2021,"514288","75316",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2021,"362632","55603",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2021,"573630","79113",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2021,"415589","58566",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2021,"103180","15541",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2021,"251086","35094",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2021,"53355","7368",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2021,"204740","24828",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2021,"113754","17779",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2021,"202787","27763",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2021,"68558","10495",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2021,"235328","34470",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2021,"150446","19984",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2021,"69589","8033",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2021,"166428","22639",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2021,"39089","5531",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2021,"511505","69391",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2021,"82341","10375",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2021,"358237","48566",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2021,"4683761","642484",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Northland",2022,"232085","31640",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waitemata",2022,"577024","78632",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Auckland",2022,"407009","57922",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Counties Manukau",2022,"641164","83174",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Waikato",2022,"495582","61066",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Lakes",2022,"120587","16005",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Bay of Plenty",2022,"290763","36139",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Tairawhiti",2022,"64518","7547",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hawke's Bay",2022,"231899","25755",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Taranaki",2022,"129299","18255",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","MidCentral",2022,"237053","28389",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Whanganui",2022,"79415","10774",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Capital & Coast",2022,"272902","35307",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Hutt Valley",2022,"169204","20213",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Wairarapa",2022,"76949","8316",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Nelson Marlborough",2022,"189524","23295",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","West Coast",2022,"45427","5721",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Canterbury",2022,"598914","72812",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","South Canterbury",2022,"97029","10739",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","Southern",2022,"404700","49939",100
"Dispensings","707","Agents Affecting the Renin-Angiotensin System","New Zealand",2022,"5361047","667573",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2018,"4686","909",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2018,"11021","2085",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2018,"8753","1638",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2018,"8749","1655",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2018,"9196","1745",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2018,"2059","411",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2018,"5708","1051",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2018,"988","177",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2018,"4004","701",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2018,"2617","514",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2018,"4240","773",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2018,"1570","301",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2018,"5725","949",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2018,"3301","546",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2018,"1325","224",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2018,"4217","746",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2018,"928","175",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2018,"15589","2564",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2018,"1783","329",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2018,"7931","1531",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2018,"104390","18576",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2019,"5013","939",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2019,"12094","2160",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2019,"9012","1661",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2019,"9243","1711",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2019,"9782","1815",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2019,"2082","407",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2019,"6115","1111",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2019,"951","173",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2019,"3812","737",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2019,"2854","526",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2019,"4735","809",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2019,"1599","326",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2019,"6093","1008",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2019,"3280","558",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2019,"1317","219",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2019,"4388","770",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2019,"1091","206",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2019,"16562","2704",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2019,"1917","343",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2019,"8249","1514",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2019,"110189","19290",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2020,"5186","990",99.8
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2020,"12556","2269",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2020,"9562","1663",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2020,"9901","1781",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2020,"9945","1821",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2020,"2269","406",99.8
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2020,"6671","1135",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2020,"1008","175",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2020,"3750","718",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Taranaki",2020,"3027","573",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","MidCentral",2020,"4919","793",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Whanganui",2020,"1659","312",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Capital & Coast",2020,"6436","1036",99.8
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hutt Valley",2020,"3559","581",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Wairarapa",2020,"1393","234",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Nelson Marlborough",2020,"4799","842",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","West Coast",2020,"1132","223",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Canterbury",2020,"17127","2841",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","South Canterbury",2020,"1909","356",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Southern",2020,"8560","1545",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","New Zealand",2020,"115368","19810",99.9
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Northland",2021,"5199","988",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waitemata",2021,"13332","2273",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Auckland",2021,"9745","1702",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Counties Manukau",2021,"10049","1743",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Waikato",2021,"10208","1832",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Lakes",2021,"2381","428",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Bay of Plenty",2021,"7093","1203",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Tairawhiti",2021,"1099","182",100
"Initial dispensings","2201","Agents for Parkinsonism and Related Disorders","Hawke's Bay",2021,"4004","772",100
