,Type,TG3ID,TherapeuticGrp3,DHB,YearDisp,NumDisps,NumPpl,NHIComp,TherapeuticGrp3.y,TG2ID,TherapeuticGrp2,TG1ID,TherapeuticGrp1
4282,Initial dispensings,160101,Anthelmintics,Southern,2018,886,828,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4283,Initial dispensings,160101,Anthelmintics,New Zealand,2018,16114,14877,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4284,Initial dispensings,160101,Anthelmintics,Northland,2019,653,593,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4285,Initial dispensings,160101,Anthelmintics,Waitemata,2019,2549,2366,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4286,Initial dispensings,160101,Anthelmintics,Auckland,2019,2146,1955,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4287,Initial dispensings,160101,Anthelmintics,Counties Manukau,2019,1718,1584,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4288,Initial dispensings,160101,Anthelmintics,Waikato,2019,1743,1565,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4289,Initial dispensings,160101,Anthelmintics,Lakes,2019,277,248,98.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4290,Initial dispensings,160101,Anthelmintics,Bay of Plenty,2019,988,911,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4291,Initial dispensings,160101,Anthelmintics,Tairawhiti,2019,133,117,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4292,Initial dispensings,160101,Anthelmintics,Hawke's Bay,2019,482,445,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4293,Initial dispensings,160101,Anthelmintics,Taranaki,2019,252,230,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4294,Initial dispensings,160101,Anthelmintics,MidCentral,2019,387,356,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4295,Initial dispensings,160101,Anthelmintics,Whanganui,2019,214,183,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4296,Initial dispensings,160101,Anthelmintics,Capital & Coast,2019,975,887,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4297,Initial dispensings,160101,Anthelmintics,Hutt Valley,2019,363,338,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4298,Initial dispensings,160101,Anthelmintics,Wairarapa,2019,106,102,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4299,Initial dispensings,160101,Anthelmintics,Nelson Marlborough,2019,448,405,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4300,Initial dispensings,160101,Anthelmintics,West Coast,2019,48,48,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4301,Initial dispensings,160101,Anthelmintics,Canterbury,2019,1515,1402,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4302,Initial dispensings,160101,Anthelmintics,South Canterbury,2019,118,112,99.2,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4303,Initial dispensings,160101,Anthelmintics,Southern,2019,865,818,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4304,Initial dispensings,160101,Anthelmintics,New Zealand,2019,15980,14637,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4305,Initial dispensings,160101,Anthelmintics,Northland,2020,579,514,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4306,Initial dispensings,160101,Anthelmintics,Waitemata,2020,2218,1997,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4307,Initial dispensings,160101,Anthelmintics,Auckland,2020,1919,1702,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4308,Initial dispensings,160101,Anthelmintics,Counties Manukau,2020,1453,1343,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4309,Initial dispensings,160101,Anthelmintics,Waikato,2020,1698,1499,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4310,Initial dispensings,160101,Anthelmintics,Lakes,2020,211,192,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4311,Initial dispensings,160101,Anthelmintics,Bay of Plenty,2020,894,825,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4312,Initial dispensings,160101,Anthelmintics,Tairawhiti,2020,161,145,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4313,Initial dispensings,160101,Anthelmintics,Hawke's Bay,2020,451,406,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4314,Initial dispensings,160101,Anthelmintics,Taranaki,2020,258,234,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4315,Initial dispensings,160101,Anthelmintics,MidCentral,2020,348,326,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4316,Initial dispensings,160101,Anthelmintics,Whanganui,2020,144,122,99.3,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4317,Initial dispensings,160101,Anthelmintics,Capital & Coast,2020,868,792,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4318,Initial dispensings,160101,Anthelmintics,Hutt Valley,2020,408,378,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4319,Initial dispensings,160101,Anthelmintics,Wairarapa,2020,63,63,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4320,Initial dispensings,160101,Anthelmintics,Nelson Marlborough,2020,376,339,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4321,Initial dispensings,160101,Anthelmintics,West Coast,2020,58,55,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4322,Initial dispensings,160101,Anthelmintics,Canterbury,2020,1410,1302,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4323,Initial dispensings,160101,Anthelmintics,South Canterbury,2020,124,113,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4324,Initial dispensings,160101,Anthelmintics,Southern,2020,781,723,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4325,Initial dispensings,160101,Anthelmintics,New Zealand,2020,14422,13057,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4326,Initial dispensings,160101,Anthelmintics,Northland,2021,590,529,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4327,Initial dispensings,160101,Anthelmintics,Waitemata,2021,2067,1895,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4328,Initial dispensings,160101,Anthelmintics,Auckland,2021,1777,1628,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4329,Initial dispensings,160101,Anthelmintics,Counties Manukau,2021,1375,1248,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4330,Initial dispensings,160101,Anthelmintics,Waikato,2021,1563,1368,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4331,Initial dispensings,160101,Anthelmintics,Lakes,2021,216,200,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4332,Initial dispensings,160101,Anthelmintics,Bay of Plenty,2021,823,751,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4333,Initial dispensings,160101,Anthelmintics,Tairawhiti,2021,159,149,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4334,Initial dispensings,160101,Anthelmintics,Hawke's Bay,2021,480,448,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4335,Initial dispensings,160101,Anthelmintics,Taranaki,2021,241,207,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4336,Initial dispensings,160101,Anthelmintics,MidCentral,2021,349,336,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4337,Initial dispensings,160101,Anthelmintics,Whanganui,2021,160,140,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4338,Initial dispensings,160101,Anthelmintics,Capital & Coast,2021,784,729,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4339,Initial dispensings,160101,Anthelmintics,Hutt Valley,2021,344,313,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4340,Initial dispensings,160101,Anthelmintics,Wairarapa,2021,82,77,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4341,Initial dispensings,160101,Anthelmintics,Nelson Marlborough,2021,399,345,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4342,Initial dispensings,160101,Anthelmintics,West Coast,2021,31,28,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4343,Initial dispensings,160101,Anthelmintics,Canterbury,2021,1321,1228,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4344,Initial dispensings,160101,Anthelmintics,South Canterbury,2021,114,103,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4345,Initial dispensings,160101,Anthelmintics,Southern,2021,680,631,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4346,Initial dispensings,160101,Anthelmintics,New Zealand,2021,13555,12335,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4347,Initial dispensings,160101,Anthelmintics,Northland,2022,451,407,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4348,Initial dispensings,160101,Anthelmintics,Waitemata,2022,1940,1783,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4349,Initial dispensings,160101,Anthelmintics,Auckland,2022,1682,1524,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4350,Initial dispensings,160101,Anthelmintics,Counties Manukau,2022,1288,1193,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4351,Initial dispensings,160101,Anthelmintics,Waikato,2022,1391,1282,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4352,Initial dispensings,160101,Anthelmintics,Lakes,2022,261,241,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4353,Initial dispensings,160101,Anthelmintics,Bay of Plenty,2022,784,723,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4354,Initial dispensings,160101,Anthelmintics,Tairawhiti,2022,124,116,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4355,Initial dispensings,160101,Anthelmintics,Hawke's Bay,2022,414,383,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4356,Initial dispensings,160101,Anthelmintics,Taranaki,2022,211,187,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4357,Initial dispensings,160101,Anthelmintics,MidCentral,2022,313,301,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4358,Initial dispensings,160101,Anthelmintics,Whanganui,2022,171,153,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4359,Initial dispensings,160101,Anthelmintics,Capital & Coast,2022,746,681,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4360,Initial dispensings,160101,Anthelmintics,Hutt Valley,2022,315,297,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4361,Initial dispensings,160101,Anthelmintics,Wairarapa,2022,71,67,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4362,Initial dispensings,160101,Anthelmintics,Nelson Marlborough,2022,351,321,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4363,Initial dispensings,160101,Anthelmintics,West Coast,2022,68,65,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4364,Initial dispensings,160101,Anthelmintics,Canterbury,2022,1199,1109,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4365,Initial dispensings,160101,Anthelmintics,South Canterbury,2022,88,81,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4366,Initial dispensings,160101,Anthelmintics,Southern,2022,706,651,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4367,Initial dispensings,160101,Anthelmintics,New Zealand,2022,12574,11548,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4368,Dispensings,160101,Anthelmintics,Northland,2018,687,619,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4369,Dispensings,160101,Anthelmintics,Waitemata,2018,2593,2379,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4370,Dispensings,160101,Anthelmintics,Auckland,2018,2123,1953,99.2,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4371,Dispensings,160101,Anthelmintics,Counties Manukau,2018,1795,1638,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4372,Dispensings,160101,Anthelmintics,Waikato,2018,1737,1564,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4373,Dispensings,160101,Anthelmintics,Lakes,2018,325,294,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4374,Dispensings,160101,Anthelmintics,Bay of Plenty,2018,1036,911,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4375,Dispensings,160101,Anthelmintics,Tairawhiti,2018,162,141,97.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4376,Dispensings,160101,Anthelmintics,Hawke's Bay,2018,470,431,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4377,Dispensings,160101,Anthelmintics,Taranaki,2018,285,266,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4378,Dispensings,160101,Anthelmintics,MidCentral,2018,423,393,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4379,Dispensings,160101,Anthelmintics,Whanganui,2018,221,203,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4380,Dispensings,160101,Anthelmintics,Capital & Coast,2018,991,884,98.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4381,Dispensings,160101,Anthelmintics,Hutt Valley,2018,425,386,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4382,Dispensings,160101,Anthelmintics,Wairarapa,2018,121,105,99.2,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4383,Dispensings,160101,Anthelmintics,Nelson Marlborough,2018,438,378,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4384,Dispensings,160101,Anthelmintics,West Coast,2018,32,29,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4385,Dispensings,160101,Anthelmintics,Canterbury,2018,1530,1392,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4386,Dispensings,160101,Anthelmintics,South Canterbury,2018,126,112,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4387,Dispensings,160101,Anthelmintics,Southern,2018,915,829,99,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4388,Dispensings,160101,Anthelmintics,New Zealand,2018,16435,14889,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4389,Dispensings,160101,Anthelmintics,Northland,2019,680,593,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4390,Dispensings,160101,Anthelmintics,Waitemata,2019,2586,2367,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4391,Dispensings,160101,Anthelmintics,Auckland,2019,2197,1959,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4392,Dispensings,160101,Anthelmintics,Counties Manukau,2019,1733,1584,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4393,Dispensings,160101,Anthelmintics,Waikato,2019,1777,1568,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4394,Dispensings,160101,Anthelmintics,Lakes,2019,283,248,98.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4395,Dispensings,160101,Anthelmintics,Bay of Plenty,2019,1040,916,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4396,Dispensings,160101,Anthelmintics,Tairawhiti,2019,135,117,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4397,Dispensings,160101,Anthelmintics,Hawke's Bay,2019,494,445,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4398,Dispensings,160101,Anthelmintics,Taranaki,2019,260,230,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4399,Dispensings,160101,Anthelmintics,MidCentral,2019,394,357,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4400,Dispensings,160101,Anthelmintics,Whanganui,2019,223,184,99.1,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4401,Dispensings,160101,Anthelmintics,Capital & Coast,2019,993,888,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4402,Dispensings,160101,Anthelmintics,Hutt Valley,2019,374,339,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4403,Dispensings,160101,Anthelmintics,Wairarapa,2019,109,102,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4404,Dispensings,160101,Anthelmintics,Nelson Marlborough,2019,460,407,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4405,Dispensings,160101,Anthelmintics,West Coast,2019,48,48,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4406,Dispensings,160101,Anthelmintics,Canterbury,2019,1554,1404,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4407,Dispensings,160101,Anthelmintics,South Canterbury,2019,120,112,99.2,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4408,Dispensings,160101,Anthelmintics,Southern,2019,892,818,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4409,Dispensings,160101,Anthelmintics,New Zealand,2019,16352,14655,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4410,Dispensings,160101,Anthelmintics,Northland,2020,617,516,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4411,Dispensings,160101,Anthelmintics,Waitemata,2020,2341,2001,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4412,Dispensings,160101,Anthelmintics,Auckland,2020,2039,1705,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4413,Dispensings,160101,Anthelmintics,Counties Manukau,2020,1503,1344,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4414,Dispensings,160101,Anthelmintics,Waikato,2020,1766,1500,99.7,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4415,Dispensings,160101,Anthelmintics,Lakes,2020,226,192,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4416,Dispensings,160101,Anthelmintics,Bay of Plenty,2020,946,827,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4417,Dispensings,160101,Anthelmintics,Tairawhiti,2020,169,145,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4418,Dispensings,160101,Anthelmintics,Hawke's Bay,2020,478,407,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4419,Dispensings,160101,Anthelmintics,Taranaki,2020,265,234,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4420,Dispensings,160101,Anthelmintics,MidCentral,2020,359,326,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4421,Dispensings,160101,Anthelmintics,Whanganui,2020,152,122,99.3,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4422,Dispensings,160101,Anthelmintics,Capital & Coast,2020,903,793,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4423,Dispensings,160101,Anthelmintics,Hutt Valley,2020,423,378,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4424,Dispensings,160101,Anthelmintics,Wairarapa,2020,66,63,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4425,Dispensings,160101,Anthelmintics,Nelson Marlborough,2020,397,339,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4426,Dispensings,160101,Anthelmintics,West Coast,2020,59,55,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4427,Dispensings,160101,Anthelmintics,Canterbury,2020,1465,1304,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4428,Dispensings,160101,Anthelmintics,South Canterbury,2020,130,113,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4429,Dispensings,160101,Anthelmintics,Southern,2020,808,724,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4430,Dispensings,160101,Anthelmintics,New Zealand,2020,15112,13075,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4431,Dispensings,160101,Anthelmintics,Northland,2021,645,532,99.5,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4432,Dispensings,160101,Anthelmintics,Waitemata,2021,2190,1897,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4433,Dispensings,160101,Anthelmintics,Auckland,2021,1866,1633,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4434,Dispensings,160101,Anthelmintics,Counties Manukau,2021,1447,1252,99.9,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4435,Dispensings,160101,Anthelmintics,Waikato,2021,1621,1370,99.6,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4436,Dispensings,160101,Anthelmintics,Lakes,2021,226,200,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4437,Dispensings,160101,Anthelmintics,Bay of Plenty,2021,873,751,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4438,Dispensings,160101,Anthelmintics,Tairawhiti,2021,163,149,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4439,Dispensings,160101,Anthelmintics,Hawke's Bay,2021,496,453,99.8,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4440,Dispensings,160101,Anthelmintics,Taranaki,2021,255,207,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4441,Dispensings,160101,Anthelmintics,MidCentral,2021,356,336,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4442,Dispensings,160101,Anthelmintics,Whanganui,2021,172,140,99.4,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4443,Dispensings,160101,Anthelmintics,Capital & Coast,2021,824,729,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4444,Dispensings,160101,Anthelmintics,Hutt Valley,2021,366,313,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4445,Dispensings,160101,Anthelmintics,Wairarapa,2021,92,77,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4446,Dispensings,160101,Anthelmintics,Nelson Marlborough,2021,462,346,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
4447,Dispensings,160101,Anthelmintics,West Coast,2021,34,28,100,Anthelmintics,1601,Anthelmintics,16,Infections - Agents for Systemic Use
