,Type,TG2ID,TherapeuticGrp2.x,DHB,YearDisp,NumDisps,NumPpl,NHIComp,TherapeuticGrp2.y,TG1ID,TherapeuticGrp1,,DHB_names
1397,Initial dispensings,1601,Anthelmintics,Wairarapa,2018,113,105,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1398,Initial dispensings,1601,Anthelmintics,Nelson Marlborough,2018,427,378,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1399,Initial dispensings,1601,Anthelmintics,West Coast,2018,30,29,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1400,Initial dispensings,1601,Anthelmintics,Canterbury,2018,1500,1392,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1401,Initial dispensings,1601,Anthelmintics,South Canterbury,2018,120,112,100,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1402,Initial dispensings,1601,Anthelmintics,Southern,2018,886,828,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1403,Initial dispensings,1601,Anthelmintics,New Zealand,2018,16114,14877,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1404,Initial dispensings,1601,Anthelmintics,Northland,2019,653,593,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1405,Initial dispensings,1601,Anthelmintics,Waitemata,2019,2549,2366,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1406,Initial dispensings,1601,Anthelmintics,Auckland,2019,2146,1955,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1407,Initial dispensings,1601,Anthelmintics,Counties Manukau,2019,1718,1584,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1408,Initial dispensings,1601,Anthelmintics,Waikato,2019,1743,1565,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1409,Initial dispensings,1601,Anthelmintics,Lakes,2019,277,248,98.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1410,Initial dispensings,1601,Anthelmintics,Bay of Plenty,2019,988,911,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1411,Initial dispensings,1601,Anthelmintics,Tairawhiti,2019,133,117,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1412,Initial dispensings,1601,Anthelmintics,Hawke's Bay,2019,482,445,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1413,Initial dispensings,1601,Anthelmintics,Taranaki,2019,252,230,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1414,Initial dispensings,1601,Anthelmintics,MidCentral,2019,387,356,100,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1415,Initial dispensings,1601,Anthelmintics,Whanganui,2019,214,183,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1416,Initial dispensings,1601,Anthelmintics,Capital & Coast,2019,975,887,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1417,Initial dispensings,1601,Anthelmintics,Hutt Valley,2019,363,338,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1418,Initial dispensings,1601,Anthelmintics,Wairarapa,2019,106,102,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1419,Initial dispensings,1601,Anthelmintics,Nelson Marlborough,2019,448,405,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1420,Initial dispensings,1601,Anthelmintics,West Coast,2019,48,48,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1421,Initial dispensings,1601,Anthelmintics,Canterbury,2019,1515,1402,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1422,Initial dispensings,1601,Anthelmintics,South Canterbury,2019,118,112,99.2,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1423,Initial dispensings,1601,Anthelmintics,Southern,2019,865,818,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1424,Initial dispensings,1601,Anthelmintics,New Zealand,2019,15980,14637,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1425,Initial dispensings,1601,Anthelmintics,Northland,2020,579,514,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1426,Initial dispensings,1601,Anthelmintics,Waitemata,2020,2218,1997,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1427,Initial dispensings,1601,Anthelmintics,Auckland,2020,1919,1702,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1428,Initial dispensings,1601,Anthelmintics,Counties Manukau,2020,1453,1343,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1429,Initial dispensings,1601,Anthelmintics,Waikato,2020,1698,1499,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1430,Initial dispensings,1601,Anthelmintics,Lakes,2020,211,192,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1431,Initial dispensings,1601,Anthelmintics,Bay of Plenty,2020,894,825,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1432,Initial dispensings,1601,Anthelmintics,Tairawhiti,2020,161,145,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1433,Initial dispensings,1601,Anthelmintics,Hawke's Bay,2020,451,406,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1434,Initial dispensings,1601,Anthelmintics,Taranaki,2020,258,234,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1435,Initial dispensings,1601,Anthelmintics,MidCentral,2020,348,326,100,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1436,Initial dispensings,1601,Anthelmintics,Whanganui,2020,144,122,99.3,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1437,Initial dispensings,1601,Anthelmintics,Capital & Coast,2020,868,792,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1438,Initial dispensings,1601,Anthelmintics,Hutt Valley,2020,408,378,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1439,Initial dispensings,1601,Anthelmintics,Wairarapa,2020,63,63,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1440,Initial dispensings,1601,Anthelmintics,Nelson Marlborough,2020,376,339,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1441,Initial dispensings,1601,Anthelmintics,West Coast,2020,58,55,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1442,Initial dispensings,1601,Anthelmintics,Canterbury,2020,1410,1302,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1443,Initial dispensings,1601,Anthelmintics,South Canterbury,2020,124,113,100,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1444,Initial dispensings,1601,Anthelmintics,Southern,2020,781,723,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1445,Initial dispensings,1601,Anthelmintics,New Zealand,2020,14422,13057,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1446,Initial dispensings,1601,Anthelmintics,Northland,2021,590,529,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1447,Initial dispensings,1601,Anthelmintics,Waitemata,2021,2067,1895,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1448,Initial dispensings,1601,Anthelmintics,Auckland,2021,1777,1628,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1449,Initial dispensings,1601,Anthelmintics,Counties Manukau,2021,1375,1248,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1450,Initial dispensings,1601,Anthelmintics,Waikato,2021,1563,1368,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1451,Initial dispensings,1601,Anthelmintics,Lakes,2021,216,200,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1452,Initial dispensings,1601,Anthelmintics,Bay of Plenty,2021,823,751,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1453,Initial dispensings,1601,Anthelmintics,Tairawhiti,2021,159,149,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1454,Initial dispensings,1601,Anthelmintics,Hawke's Bay,2021,480,448,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1455,Initial dispensings,1601,Anthelmintics,Taranaki,2021,241,207,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1456,Initial dispensings,1601,Anthelmintics,MidCentral,2021,349,336,100,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1457,Initial dispensings,1601,Anthelmintics,Whanganui,2021,160,140,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1458,Initial dispensings,1601,Anthelmintics,Capital & Coast,2021,784,729,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1459,Initial dispensings,1601,Anthelmintics,Hutt Valley,2021,344,313,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1460,Initial dispensings,1601,Anthelmintics,Wairarapa,2021,82,77,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1461,Initial dispensings,1601,Anthelmintics,Nelson Marlborough,2021,399,345,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1462,Initial dispensings,1601,Anthelmintics,West Coast,2021,31,28,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1463,Initial dispensings,1601,Anthelmintics,Canterbury,2021,1321,1228,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1464,Initial dispensings,1601,Anthelmintics,South Canterbury,2021,114,103,100,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1465,Initial dispensings,1601,Anthelmintics,Southern,2021,680,631,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1466,Initial dispensings,1601,Anthelmintics,New Zealand,2021,13555,12335,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1467,Initial dispensings,1601,Anthelmintics,Northland,2022,451,407,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1468,Initial dispensings,1601,Anthelmintics,Waitemata,2022,1940,1783,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1469,Initial dispensings,1601,Anthelmintics,Auckland,2022,1682,1524,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1470,Initial dispensings,1601,Anthelmintics,Counties Manukau,2022,1288,1193,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1471,Initial dispensings,1601,Anthelmintics,Waikato,2022,1391,1282,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1472,Initial dispensings,1601,Anthelmintics,Lakes,2022,261,241,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1473,Initial dispensings,1601,Anthelmintics,Bay of Plenty,2022,784,723,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1474,Initial dispensings,1601,Anthelmintics,Tairawhiti,2022,124,116,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1475,Initial dispensings,1601,Anthelmintics,Hawke's Bay,2022,414,383,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1476,Initial dispensings,1601,Anthelmintics,Taranaki,2022,211,187,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1477,Initial dispensings,1601,Anthelmintics,MidCentral,2022,313,301,100,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1478,Initial dispensings,1601,Anthelmintics,Whanganui,2022,171,153,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1479,Initial dispensings,1601,Anthelmintics,Capital & Coast,2022,746,681,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1480,Initial dispensings,1601,Anthelmintics,Hutt Valley,2022,315,297,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1481,Initial dispensings,1601,Anthelmintics,Wairarapa,2022,71,67,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1482,Initial dispensings,1601,Anthelmintics,Nelson Marlborough,2022,351,321,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1483,Initial dispensings,1601,Anthelmintics,West Coast,2022,68,65,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1484,Initial dispensings,1601,Anthelmintics,Canterbury,2022,1199,1109,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1485,Initial dispensings,1601,Anthelmintics,South Canterbury,2022,88,81,100,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1486,Initial dispensings,1601,Anthelmintics,Southern,2022,706,651,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1487,Initial dispensings,1601,Anthelmintics,New Zealand,2022,12574,11548,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1488,Dispensings,1601,Anthelmintics,Northland,2018,687,619,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1489,Dispensings,1601,Anthelmintics,Waitemata,2018,2593,2379,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1490,Dispensings,1601,Anthelmintics,Auckland,2018,2123,1953,99.2,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1491,Dispensings,1601,Anthelmintics,Counties Manukau,2018,1795,1638,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1492,Dispensings,1601,Anthelmintics,Waikato,2018,1737,1564,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1493,Dispensings,1601,Anthelmintics,Lakes,2018,325,294,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1494,Dispensings,1601,Anthelmintics,Bay of Plenty,2018,1036,911,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1495,Dispensings,1601,Anthelmintics,Tairawhiti,2018,162,141,97.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1496,Dispensings,1601,Anthelmintics,Hawke's Bay,2018,470,431,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1497,Dispensings,1601,Anthelmintics,Taranaki,2018,285,266,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1498,Dispensings,1601,Anthelmintics,MidCentral,2018,423,393,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1499,Dispensings,1601,Anthelmintics,Whanganui,2018,221,203,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1500,Dispensings,1601,Anthelmintics,Capital & Coast,2018,991,884,98.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1501,Dispensings,1601,Anthelmintics,Hutt Valley,2018,425,386,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1502,Dispensings,1601,Anthelmintics,Wairarapa,2018,121,105,99.2,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1503,Dispensings,1601,Anthelmintics,Nelson Marlborough,2018,438,378,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1504,Dispensings,1601,Anthelmintics,West Coast,2018,32,29,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1505,Dispensings,1601,Anthelmintics,Canterbury,2018,1530,1392,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1506,Dispensings,1601,Anthelmintics,South Canterbury,2018,126,112,100,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1507,Dispensings,1601,Anthelmintics,Southern,2018,915,829,99,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1508,Dispensings,1601,Anthelmintics,New Zealand,2018,16435,14889,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1509,Dispensings,1601,Anthelmintics,Northland,2019,680,593,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1510,Dispensings,1601,Anthelmintics,Waitemata,2019,2586,2367,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1511,Dispensings,1601,Anthelmintics,Auckland,2019,2197,1959,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1512,Dispensings,1601,Anthelmintics,Counties Manukau,2019,1733,1584,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1513,Dispensings,1601,Anthelmintics,Waikato,2019,1777,1568,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1514,Dispensings,1601,Anthelmintics,Lakes,2019,283,248,98.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1515,Dispensings,1601,Anthelmintics,Bay of Plenty,2019,1040,916,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1516,Dispensings,1601,Anthelmintics,Tairawhiti,2019,135,117,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1517,Dispensings,1601,Anthelmintics,Hawke's Bay,2019,494,445,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1518,Dispensings,1601,Anthelmintics,Taranaki,2019,260,230,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1519,Dispensings,1601,Anthelmintics,MidCentral,2019,394,357,100,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1520,Dispensings,1601,Anthelmintics,Whanganui,2019,223,184,99.1,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1521,Dispensings,1601,Anthelmintics,Capital & Coast,2019,993,888,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1522,Dispensings,1601,Anthelmintics,Hutt Valley,2019,374,339,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1523,Dispensings,1601,Anthelmintics,Wairarapa,2019,109,102,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1524,Dispensings,1601,Anthelmintics,Nelson Marlborough,2019,460,407,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1525,Dispensings,1601,Anthelmintics,West Coast,2019,48,48,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1526,Dispensings,1601,Anthelmintics,Canterbury,2019,1554,1404,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1527,Dispensings,1601,Anthelmintics,South Canterbury,2019,120,112,99.2,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1528,Dispensings,1601,Anthelmintics,Southern,2019,892,818,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1529,Dispensings,1601,Anthelmintics,New Zealand,2019,16352,14655,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1530,Dispensings,1601,Anthelmintics,Northland,2020,617,516,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1531,Dispensings,1601,Anthelmintics,Waitemata,2020,2341,2001,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1532,Dispensings,1601,Anthelmintics,Auckland,2020,2039,1705,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1533,Dispensings,1601,Anthelmintics,Counties Manukau,2020,1503,1344,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1534,Dispensings,1601,Anthelmintics,Waikato,2020,1766,1500,99.7,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1535,Dispensings,1601,Anthelmintics,Lakes,2020,226,192,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1536,Dispensings,1601,Anthelmintics,Bay of Plenty,2020,946,827,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1537,Dispensings,1601,Anthelmintics,Tairawhiti,2020,169,145,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1538,Dispensings,1601,Anthelmintics,Hawke's Bay,2020,478,407,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1539,Dispensings,1601,Anthelmintics,Taranaki,2020,265,234,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1540,Dispensings,1601,Anthelmintics,MidCentral,2020,359,326,100,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1541,Dispensings,1601,Anthelmintics,Whanganui,2020,152,122,99.3,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1542,Dispensings,1601,Anthelmintics,Capital & Coast,2020,903,793,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1543,Dispensings,1601,Anthelmintics,Hutt Valley,2020,423,378,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1544,Dispensings,1601,Anthelmintics,Wairarapa,2020,66,63,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1545,Dispensings,1601,Anthelmintics,Nelson Marlborough,2020,397,339,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1546,Dispensings,1601,Anthelmintics,West Coast,2020,59,55,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1547,Dispensings,1601,Anthelmintics,Canterbury,2020,1465,1304,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1548,Dispensings,1601,Anthelmintics,South Canterbury,2020,130,113,100,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1549,Dispensings,1601,Anthelmintics,Southern,2020,808,724,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1550,Dispensings,1601,Anthelmintics,New Zealand,2020,15112,13075,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1551,Dispensings,1601,Anthelmintics,Northland,2021,645,532,99.5,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1552,Dispensings,1601,Anthelmintics,Waitemata,2021,2190,1897,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1553,Dispensings,1601,Anthelmintics,Auckland,2021,1866,1633,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1554,Dispensings,1601,Anthelmintics,Counties Manukau,2021,1447,1252,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1555,Dispensings,1601,Anthelmintics,Waikato,2021,1621,1370,99.6,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
1556,Dispensings,1601,Anthelmintics,Lakes,2021,226,200,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Lakes
1557,Dispensings,1601,Anthelmintics,Bay of Plenty,2021,873,751,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Bay of Plenty
1558,Dispensings,1601,Anthelmintics,Tairawhiti,2021,163,149,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Tairawhiti
1559,Dispensings,1601,Anthelmintics,Hawke's Bay,2021,496,453,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,Hawke's Bay
1560,Dispensings,1601,Anthelmintics,Taranaki,2021,255,207,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Taranaki
1561,Dispensings,1601,Anthelmintics,MidCentral,2021,356,336,100,Anthelmintics,16,Infections - Agents for Systemic Use,,MidCentral
1562,Dispensings,1601,Anthelmintics,Whanganui,2021,172,140,99.4,Anthelmintics,16,Infections - Agents for Systemic Use,,Whanganui
1563,Dispensings,1601,Anthelmintics,Capital & Coast,2021,824,729,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Capital and Coast
1564,Dispensings,1601,Anthelmintics,Hutt Valley,2021,366,313,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Hutt Valley
1565,Dispensings,1601,Anthelmintics,Wairarapa,2021,92,77,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Wairarapa
1566,Dispensings,1601,Anthelmintics,Nelson Marlborough,2021,462,346,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Nelson Marlborough
1567,Dispensings,1601,Anthelmintics,West Coast,2021,34,28,100,Anthelmintics,16,Infections - Agents for Systemic Use,,West Coast
1568,Dispensings,1601,Anthelmintics,Canterbury,2021,1380,1229,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Canterbury
1569,Dispensings,1601,Anthelmintics,South Canterbury,2021,115,103,100,Anthelmintics,16,Infections - Agents for Systemic Use,,South Canterbury
1570,Dispensings,1601,Anthelmintics,Southern,2021,706,632,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Southern
1571,Dispensings,1601,Anthelmintics,New Zealand,2021,14289,12358,99.8,Anthelmintics,16,Infections - Agents for Systemic Use,,New Zealand
1572,Dispensings,1601,Anthelmintics,Northland,2022,483,408,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Northland
1573,Dispensings,1601,Anthelmintics,Waitemata,2022,2044,1784,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Waitemata
1574,Dispensings,1601,Anthelmintics,Auckland,2022,1733,1527,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Auckland
1575,Dispensings,1601,Anthelmintics,Counties Manukau,2022,1347,1195,100,Anthelmintics,16,Infections - Agents for Systemic Use,,Counties Manukau
1576,Dispensings,1601,Anthelmintics,Waikato,2022,1448,1282,99.9,Anthelmintics,16,Infections - Agents for Systemic Use,,Waikato
