"","Type","TG3ID","TherapeuticGrp3","DHB","YearDisp","NumDisps","NumPpl","NHIComp"
"12916","Initial dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2020,"43904","32620",99.8
"12917","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2020,"20286","14700",99.9
"12918","Initial dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2020,"9040","6423",99.6
"12919","Initial dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2020,"16589","11964",99.8
"12920","Initial dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2020,"2582","1933",99.9
"12921","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2020,"13854","9540",99.9
"12922","Initial dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2020,"7589","5592",99.8
"12923","Initial dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2020,"10830","7757",99.9
"12924","Initial dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2020,"5337","3672",99.9
"12925","Initial dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2020,"11123","8105",99.3
"12926","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2020,"6600","4697",99.8
"12927","Initial dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2020,"2215","1673",99.8
"12928","Initial dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2020,"6587","4558",99.7
"12929","Initial dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2020,"752","570",100
"12930","Initial dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2020,"22786","15658",99.8
"12931","Initial dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2020,"2961","2032",99.8
"12932","Initial dispensings",160301,"Cephalosporins and Cephamycins","Southern",2020,"18526","12782",99.7
"12933","Initial dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2020,"284126","202896",99.8
"12934","Initial dispensings",160301,"Cephalosporins and Cephamycins","Northland",2021,"21589","14998",99.9
"12935","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2021,"39926","29093",99.7
"12936","Initial dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2021,"27706","20237",99.6
"12937","Initial dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2021,"45814","33896",99.9
"12938","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2021,"24116","17338",99.9
"12939","Initial dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2021,"9367","6657",99.8
"12940","Initial dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2021,"18543","13282",99.9
"12941","Initial dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2021,"3460","2522",99.9
"12942","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2021,"14774","10166",100
"12943","Initial dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2021,"9288","6796",99.9
"12944","Initial dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2021,"12591","8930",99.9
"12945","Initial dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2021,"6189","4287",99.9
"12946","Initial dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2021,"12140","9081",99.7
"12947","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2021,"7692","5523",99.9
"12948","Initial dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2021,"2568","1923",100
"12949","Initial dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2021,"7249","5074",99.8
"12950","Initial dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2021,"940","710",100
"12951","Initial dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2021,"27524","19267",99.9
"12952","Initial dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2021,"3833","2681",99.9
"12953","Initial dispensings",160301,"Cephalosporins and Cephamycins","Southern",2021,"20495","14119",99.8
"12954","Initial dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2021,"315804","225623",99.8
"12955","Initial dispensings",160301,"Cephalosporins and Cephamycins","Northland",2022,"20379","14400",99.9
"12956","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2022,"42278","30834",99.8
"12957","Initial dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2022,"29517","21935",99.7
"12958","Initial dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2022,"47548","35330",99.9
"12959","Initial dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2022,"25063","18278",99.9
"12960","Initial dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2022,"9803","6890",99.8
"12961","Initial dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2022,"20166","14233",99.9
"12962","Initial dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2022,"3274","2348",100
"12963","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2022,"15169","10481",100
"12964","Initial dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2022,"9466","6910",99.8
"12965","Initial dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2022,"13601","9624",100
"12966","Initial dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2022,"6029","4235",99.9
"12967","Initial dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2022,"12885","9602",99.8
"12968","Initial dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2022,"8708","6157",99.9
"12969","Initial dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2022,"3052","2219",99.9
"12970","Initial dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2022,"7196","5062",99.9
"12971","Initial dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2022,"1075","765",100
"12972","Initial dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2022,"30500","21296",99.9
"12973","Initial dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2022,"4139","2940",99.9
"12974","Initial dispensings",160301,"Cephalosporins and Cephamycins","Southern",2022,"22117","15255",99.8
"12975","Initial dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2022,"331965","237825",99.9
"12976","Dispensings",160301,"Cephalosporins and Cephamycins","Northland",2018,"24916","16939",99.9
"12977","Dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2018,"48000","32718",99.5
"12978","Dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2018,"32593","23164",99.2
"12979","Dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2018,"51454","36205",99.6
"12980","Dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2018,"23138","15934",99.7
"12981","Dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2018,"10331","6849",99.3
"12982","Dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2018,"19162","12885",99.7
"12983","Dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2018,"2711","1956",99.7
"12984","Dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2018,"14793","9804",99.9
"12985","Dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2018,"9045","6417",99.6
"12986","Dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2018,"14990","10618",99.7
"12987","Dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2018,"6145","4239",99.6
"12988","Dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2018,"12756","9162",99.1
"12989","Dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2018,"6611","4622",98.8
"12990","Dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2018,"2341","1746",99.5
"12991","Dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2018,"5826","3844",99.3
"12992","Dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2018,"819","597",99.6
"12993","Dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2018,"21355","13846",99.6
"12994","Dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2018,"3506","2342",99.7
"12995","Dispensings",160301,"Cephalosporins and Cephamycins","Southern",2018,"18469","12508",99.6
"12996","Dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2018,"328961","225364",99.6
"12997","Dispensings",160301,"Cephalosporins and Cephamycins","Northland",2019,"22590","15523",99.9
"12998","Dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2019,"48525","33210",99.6
"12999","Dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2019,"32994","23636",99.5
"13000","Dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2019,"53343","37977",99.7
"13001","Dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2019,"23096","15979",99.8
"13002","Dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2019,"9997","6877",99.5
"13003","Dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2019,"18403","12575",99.7
"13004","Dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2019,"2778","2045",99.9
"13005","Dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2019,"15776","10281",99.9
"13006","Dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2019,"9385","6520",99.6
"13007","Dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2019,"13453","9623",99.9
"13008","Dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2019,"5496","3833",99.8
"13009","Dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2019,"12581","9140",99.2
"13010","Dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2019,"7216","5010",99.3
"13011","Dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2019,"2248","1714",99.9
"13012","Dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2019,"6617","4427",99.6
"13013","Dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2019,"829","645",99.9
"13014","Dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2019,"24768","16135",99.6
"13015","Dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2019,"3751","2459",99.9
"13016","Dispensings",160301,"Cephalosporins and Cephamycins","Southern",2019,"20775","13799",99.7
"13017","Dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2019,"334621","230487",99.7
"13018","Dispensings",160301,"Cephalosporins and Cephamycins","Northland",2020,"19901","13559",99.9
"13019","Dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2020,"39662","26854",99.7
"13020","Dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2020,"27356","18997",99.6
"13021","Dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2020,"45329","32628",99.8
"13022","Dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2020,"21813","14708",99.9
"13023","Dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2020,"9538","6423",99.6
"13024","Dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2020,"17534","11970",99.8
"13025","Dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2020,"2722","1933",99.9
"13026","Dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2020,"14988","9542",99.9
"13027","Dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2020,"8017","5592",99.8
"13028","Dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2020,"11247","7763",99.9
"13029","Dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2020,"5552","3675",99.9
"13030","Dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2020,"11522","8107",99.4
"13031","Dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2020,"6913","4700",99.8
"13032","Dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2020,"2281","1675",99.8
"13033","Dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2020,"7140","4560",99.7
"13034","Dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2020,"791","571",100
"13035","Dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2020,"24636","15669",99.8
"13036","Dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2020,"3252","2032",99.8
"13037","Dispensings",160301,"Cephalosporins and Cephamycins","Southern",2020,"19978","12791",99.7
"13038","Dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2020,"300172","202984",99.8
"13039","Dispensings",160301,"Cephalosporins and Cephamycins","Northland",2021,"22152","15005",99.9
"13040","Dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2021,"42543","29111",99.8
"13041","Dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2021,"28910","20253",99.6
"13042","Dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2021,"47180","33907",99.9
"13043","Dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2021,"25947","17352",99.9
"13044","Dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2021,"9872","6661",99.8
"13045","Dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2021,"19474","13287",99.9
"13046","Dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2021,"3598","2522",99.9
"13047","Dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2021,"15936","10172",100
"13048","Dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2021,"9822","6800",99.9
"13049","Dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2021,"13024","8933",99.9
"13050","Dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2021,"6375","4289",99.9
"13051","Dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2021,"12619","9084",99.7
"13052","Dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2021,"8098","5528",100
"13053","Dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2021,"2730","1927",100
"13054","Dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2021,"7845","5075",99.8
"13055","Dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2021,"973","710",100
"13056","Dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2021,"29490","19287",99.9
"13057","Dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2021,"4096","2682",99.9
"13058","Dispensings",160301,"Cephalosporins and Cephamycins","Southern",2021,"22191","14132",99.8
"13059","Dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2021,"332875","225744",99.8
"13060","Dispensings",160301,"Cephalosporins and Cephamycins","Northland",2022,"21139","14407",99.9
"13061","Dispensings",160301,"Cephalosporins and Cephamycins","Waitemata",2022,"44569","30867",99.8
"13062","Dispensings",160301,"Cephalosporins and Cephamycins","Auckland",2022,"30683","21951",99.8
"13063","Dispensings",160301,"Cephalosporins and Cephamycins","Counties Manukau",2022,"48987","35345",99.9
"13064","Dispensings",160301,"Cephalosporins and Cephamycins","Waikato",2022,"27112","18290",99.9
"13065","Dispensings",160301,"Cephalosporins and Cephamycins","Lakes",2022,"10238","6890",99.8
"13066","Dispensings",160301,"Cephalosporins and Cephamycins","Bay of Plenty",2022,"21278","14243",99.9
"13067","Dispensings",160301,"Cephalosporins and Cephamycins","Tairawhiti",2022,"3366","2349",100
"13068","Dispensings",160301,"Cephalosporins and Cephamycins","Hawke's Bay",2022,"16172","10484",100
"13069","Dispensings",160301,"Cephalosporins and Cephamycins","Taranaki",2022,"10007","6913",99.9
"13070","Dispensings",160301,"Cephalosporins and Cephamycins","MidCentral",2022,"14081","9626",100
"13071","Dispensings",160301,"Cephalosporins and Cephamycins","Whanganui",2022,"6306","4236",99.9
"13072","Dispensings",160301,"Cephalosporins and Cephamycins","Capital & Coast",2022,"13445","9609",99.8
"13073","Dispensings",160301,"Cephalosporins and Cephamycins","Hutt Valley",2022,"9167","6159",99.9
"13074","Dispensings",160301,"Cephalosporins and Cephamycins","Wairarapa",2022,"3264","2222",99.9
"13075","Dispensings",160301,"Cephalosporins and Cephamycins","Nelson Marlborough",2022,"7839","5065",99.9
"13076","Dispensings",160301,"Cephalosporins and Cephamycins","West Coast",2022,"1132","765",100
"13077","Dispensings",160301,"Cephalosporins and Cephamycins","Canterbury",2022,"33095","21316",99.9
"13078","Dispensings",160301,"Cephalosporins and Cephamycins","South Canterbury",2022,"4347","2945",99.9
"13079","Dispensings",160301,"Cephalosporins and Cephamycins","Southern",2022,"23927","15274",99.8
"13080","Dispensings",160301,"Cephalosporins and Cephamycins","New Zealand",2022,"350154","237969",99.9
"21892","Initial dispensings",11002,"Helicobacter Pylori Eradication","Northland",2018,"238","228",100
"21893","Initial dispensings",11002,"Helicobacter Pylori Eradication","Waitemata",2018,"2183","1969",99.8
"21894","Initial dispensings",11002,"Helicobacter Pylori Eradication","Auckland",2018,"1888","1690",99.3
"21895","Initial dispensings",11002,"Helicobacter Pylori Eradication","Counties Manukau",2018,"2212","2032",99.5
"21896","Initial dispensings",11002,"Helicobacter Pylori Eradication","Waikato",2018,"512","475",100
"21897","Initial dispensings",11002,"Helicobacter Pylori Eradication","Lakes",2018,"315","282",99.7
"21898","Initial dispensings",11002,"Helicobacter Pylori Eradication","Bay of Plenty",2018,"317","294",100
"21899","Initial dispensings",11002,"Helicobacter Pylori Eradication","Tairawhiti",2018,"93","84",100
"21900","Initial dispensings",11002,"Helicobacter Pylori Eradication","Hawke's Bay",2018,"130","122",99.2
"21901","Initial dispensings",11002,"Helicobacter Pylori Eradication","Taranaki",2018,"154","144",97.4
"21902","Initial dispensings",11002,"Helicobacter Pylori Eradication","MidCentral",2018,"289","271",100
"21903","Initial dispensings",11002,"Helicobacter Pylori Eradication","Whanganui",2018,"84","79",97.6
"21904","Initial dispensings",11002,"Helicobacter Pylori Eradication","Capital & Coast",2018,"546","492",99.6
"21905","Initial dispensings",11002,"Helicobacter Pylori Eradication","Hutt Valley",2018,"272","241",99.6
"21906","Initial dispensings",11002,"Helicobacter Pylori Eradication","Wairarapa",2018,"62","61",100
"21907","Initial dispensings",11002,"Helicobacter Pylori Eradication","Nelson Marlborough",2018,"188","172",99.5
"21908","Initial dispensings",11002,"Helicobacter Pylori Eradication","West Coast",2018,"36","34",100
"21909","Initial dispensings",11002,"Helicobacter Pylori Eradication","Canterbury",2018,"622","583",99.5
"21910","Initial dispensings",11002,"Helicobacter Pylori Eradication","South Canterbury",2018,"30","28",100
"21911","Initial dispensings",11002,"Helicobacter Pylori Eradication","Southern",2018,"352","312",99.4
"21912","Initial dispensings",11002,"Helicobacter Pylori Eradication","New Zealand",2018,"10523","9584",99.6
"21913","Initial dispensings",11002,"Helicobacter Pylori Eradication","Northland",2019,"260","234",100
"21914","Initial dispensings",11002,"Helicobacter Pylori Eradication","Waitemata",2019,"2492","2138",99.8
"21915","Initial dispensings",11002,"Helicobacter Pylori Eradication","Auckland",2019,"2114","1800",99.8
"21916","Initial dispensings",11002,"Helicobacter Pylori Eradication","Counties Manukau",2019,"2413","2075",99.9
"21917","Initial dispensings",11002,"Helicobacter Pylori Eradication","Waikato",2019,"630","574",99.8
"21918","Initial dispensings",11002,"Helicobacter Pylori Eradication","Lakes",2019,"212","193",99.1
"21919","Initial dispensings",11002,"Helicobacter Pylori Eradication","Bay of Plenty",2019,"299","272",99.7
"21920","Initial dispensings",11002,"Helicobacter Pylori Eradication","Tairawhiti",2019,"62","57",100
"21921","Initial dispensings",11002,"Helicobacter Pylori Eradication","Hawke's Bay",2019,"195","158",99.5
"21922","Initial dispensings",11002,"Helicobacter Pylori Eradication","Taranaki",2019,"159","144",99.4
"21923","Initial dispensings",11002,"Helicobacter Pylori Eradication","MidCentral",2019,"263","240",99.6
"21924","Initial dispensings",11002,"Helicobacter Pylori Eradication","Whanganui",2019,"95","82",100
"21925","Initial dispensings",11002,"Helicobacter Pylori Eradication","Capital & Coast",2019,"472","398",99.6
"21926","Initial dispensings",11002,"Helicobacter Pylori Eradication","Hutt Valley",2019,"225","207",99.6
"21927","Initial dispensings",11002,"Helicobacter Pylori Eradication","Wairarapa",2019,"27","27",100
"21928","Initial dispensings",11002,"Helicobacter Pylori Eradication","Nelson Marlborough",2019,"128","125",100
"21929","Initial dispensings",11002,"Helicobacter Pylori Eradication","West Coast",2019,"27","23",100
"21930","Initial dispensings",11002,"Helicobacter Pylori Eradication","Canterbury",2019,"808","720",99.9
"21931","Initial dispensings",11002,"Helicobacter Pylori Eradication","South Canterbury",2019,"24","24",100
"21932","Initial dispensings",11002,"Helicobacter Pylori Eradication","Southern",2019,"221","194",99.5
"21933","Initial dispensings",11002,"Helicobacter Pylori Eradication","New Zealand",2019,"11126","9675",99.8
"21934","Initial dispensings",11002,"Helicobacter Pylori Eradication","Northland",2020,"385","354",100
"21935","Initial dispensings",11002,"Helicobacter Pylori Eradication","Waitemata",2020,"3632","2908",99.8
"21936","Initial dispensings",11002,"Helicobacter Pylori Eradication","Auckland",2020,"2943","2357",99.7
"21937","Initial dispensings",11002,"Helicobacter Pylori Eradication","Counties Manukau",2020,"3448","2779",99.9
"21938","Initial dispensings",11002,"Helicobacter Pylori Eradication","Waikato",2020,"813","740",99.8
"21939","Initial dispensings",11002,"Helicobacter Pylori Eradication","Lakes",2020,"291","256",99
"21940","Initial dispensings",11002,"Helicobacter Pylori Eradication","Bay of Plenty",2020,"486","424",100
"21941","Initial dispensings",11002,"Helicobacter Pylori Eradication","Tairawhiti",2020,"106","90",99.1
"21942","Initial dispensings",11002,"Helicobacter Pylori Eradication","Hawke's Bay",2020,"154","145",100
"21943","Initial dispensings",11002,"Helicobacter Pylori Eradication","Taranaki",2020,"181","168",100
"21944","Initial dispensings",11002,"Helicobacter Pylori Eradication","MidCentral",2020,"249","223",100
"21945","Initial dispensings",11002,"Helicobacter Pylori Eradication","Whanganui",2020,"85","78",98.8
"21946","Initial dispensings",11002,"Helicobacter Pylori Eradication","Capital & Coast",2020,"470","409",99.6
"21947","Initial dispensings",11002,"Helicobacter Pylori Eradication","Hutt Valley",2020,"307","271",99.7
"21948","Initial dispensings",11002,"Helicobacter Pylori Eradication","Wairarapa",2020,"63","55",100
"21949","Initial dispensings",11002,"Helicobacter Pylori Eradication","Nelson Marlborough",2020,"168","154",100
"21950","Initial dispensings",11002,"Helicobacter Pylori Eradication","West Coast",2020,"41","34",100
"21951","Initial dispensings",11002,"Helicobacter Pylori Eradication","Canterbury",2020,"761","682",99.9
"21952","Initial dispensings",11002,"Helicobacter Pylori Eradication","South Canterbury",2020,"27","23",100
"21953","Initial dispensings",11002,"Helicobacter Pylori Eradication","Southern",2020,"281","237",99.6
"21954","Initial dispensings",11002,"Helicobacter Pylori Eradication","New Zealand",2020,"14891","12370",99.8
"21955","Initial dispensings",11002,"Helicobacter Pylori Eradication","Northland",2021,"285","265",100
"21956","Initial dispensings",11002,"Helicobacter Pylori Eradication","Waitemata",2021,"2461","2017",99.8
"21957","Initial dispensings",11002,"Helicobacter Pylori Eradication","Auckland",2021,"2263","1846",99.9
"21958","Initial dispensings",11002,"Helicobacter Pylori Eradication","Counties Manukau",2021,"2884","2363",99.9
